probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
?,Topology-IPv4-ICMP,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
?,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AD,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_08ea81d123b5::landing_region_319252418c1f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AD,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,9.0,9.0,6.0,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.4444444444444444,0.5555555555555556,0.6666666666666666,1.5810937501718234,0.8824252235446576,4.860268825015377,broad_corridor_observation_distribution,False,False,False,6.0,5.0,1.0,0.5555555555555556,0.4444444444444444,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5.0,5.0,3.0,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.6,0.8,1.0,0.9502705392332347,0.8649735207179272,2.586409289858933,moderate_corridor_observation_concentration,True,False,False,3.0,3.0,1.0,0.6,0.4,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AF,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,2.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,2.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AF,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5.0,5.0,5.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.2,0.4,0.6000000000000001,1.6094379124341005,1.0000000000000002,5.000000000000001,broad_corridor_observation_distribution,False,False,False,4.0,4.0,1.0,0.2,0.8,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AL,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5.0,5.0,5.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.2,0.4,0.6000000000000001,1.6094379124341005,1.0000000000000002,5.000000000000001,broad_corridor_observation_distribution,False,False,False,4.0,4.0,1.0,0.2,0.8,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AM,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,7.0,7.0,8.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.9459101490553135,0.9357849740192016,7.000000000000001,broad_corridor_observation_distribution,False,False,False,4.0,4.0,1.0,0.42857142857142855,0.5714285714285714,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AM,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,6.0,6.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3333333333333333,0.5,0.6666666666666666,1.7917594692280554,0.920782221161602,6.000000000000003,broad_corridor_observation_distribution,False,False,False,3.0,3.0,1.0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AO,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,3.0,3.0,1.0,landing_region_0c894d5ef6d3::landing_region_a33078e57a08,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,3.0,2.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AO,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,1.0,landing_region_0c894d5ef6d3::landing_region_a33078e57a08,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,17.0,17.0,12.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.23529411764705882,0.4117647058823529,0.5294117647058824,2.272380315171285,0.9144731112394717,9.70246828170962,broad_corridor_observation_distribution,False,False,False,11.0,11.0,1.0,0.5882352941176471,0.4117647058823529,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,9.0,9.0,7.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.7540041277179665,0.9013798137439635,5.777691033604886,broad_corridor_observation_distribution,False,False,False,5.0,5.0,1.0,0.7777777777777778,0.2222222222222222,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AT,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,52.0,52.0,25.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.4423076923076923,0.4807692307692307,0.5192307692307692,2.417763219494315,0.7511203758825683,11.220732907601644,broad_corridor_observation_distribution,False,False,True,30.0,22.0,1.0,0.6153846153846154,0.38461538461538464,0.019230769230769232,True,True,auditable,,probe_country_service
AT,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,29.0,29.0,21.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3103448275862069,0.3793103448275862,0.4482758620689655,2.6375952935331677,0.8663412234548877,13.979546450407854,broad_corridor_observation_distribution,False,False,False,18.0,17.0,1.0,0.5862068965517241,0.41379310344827586,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AU,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,281.0,281.0,28.0,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.2277580071174377,0.398576512455516,0.5338078291814947,2.4187120604400865,0.7258594282116595,11.231384651031949,broad_corridor_observation_distribution,False,False,True,148.0,59.0,1.0,0.7259786476868327,0.27402135231316727,0.13523131672597866,True,True,auditable,,probe_country_service
AU,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,170.0,170.0,24.0,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.2235294117647059,0.40588235294117647,0.5235294117647059,2.40757203114718,0.7575617530945313,11.106961025185505,broad_corridor_observation_distribution,False,False,True,89.0,42.0,1.0,0.7294117647058823,0.27058823529411763,0.11176470588235295,True,True,auditable,,probe_country_service
AX,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,4.0,4.0,4.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.25,0.75,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AX,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,4.0,4.0,4.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.25,0.75,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BA,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8.0,8.0,6.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.375,0.5,0.625,1.6674619334292948,0.9306282244165779,5.298702257124208,broad_corridor_observation_distribution,False,False,False,4.0,3.0,1.0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,4.0,4.0,5.0,landing_region_08ea81d123b5::landing_region_319252418c1f,0.25,0.5,0.75,1.559581156259877,0.9690222556651344,4.756828460010884,broad_corridor_observation_distribution,False,False,False,2.0,2.0,1.0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BB,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BB,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BD,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,weak_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.5,0.5,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BD,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,2.0,landing_region_149ad599e1a3::landing_region_ce5716d12955,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,24.0,24.0,14.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.5,0.5416666666666666,0.5833333333333334,1.9644816379772765,0.7443876326338364,7.131215080843248,broad_corridor_observation_distribution,False,False,False,18.0,8.0,1.0,0.5416666666666666,0.4583333333333333,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
BE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,13.0,13.0,6.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6923076923076923,0.7692307692307692,0.8461538461538461,1.0971128947333806,0.6123103650770996,2.995505188784246,weak_corridor_observation_concentration,True,False,False,8.0,4.0,1.0,0.7692307692307693,0.23076923076923078,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BF,Topology-IPv4-ICMP,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BF,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BG,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,18.0,18.0,15.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.2222222222222222,0.3333333333333333,0.38888888888888884,2.5437981676161927,0.9393467545693338,12.727922061357864,broad_corridor_observation_distribution,False,False,False,12.0,9.0,1.0,0.5555555555555556,0.4444444444444444,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
BG,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,13.0,13.0,10.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3076923076923077,0.46153846153846156,0.5384615384615385,2.0850782324584975,0.9055379706933112,8.045220854485281,broad_corridor_observation_distribution,False,False,False,8.0,6.0,1.0,0.5384615384615384,0.46153846153846156,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BH,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5.0,4.999999999999999,5.0,landing_region_08ea81d123b5::landing_region_445416594174,0.4,0.8,0.8666666666666667,1.274642625719766,0.7919799924384826,3.5774227027631387,moderate_corridor_observation_concentration,True,False,False,3.0,3.0,1.0,0.4000000000000001,0.6000000000000002,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BH,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,3.0,3.0,2.0,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BI,Topology-IPv4-ICMP,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BI,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BJ,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,2.0,landing_region_8afa8229a8fd::landing_region_c88b92706e9c,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BJ,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_8afa8229a8fd::landing_region_c88b92706e9c,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BL,Topology-IPv4-ICMP,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BL,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
BO,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_5f578929a68a::landing_region_94c53aa4a6d7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BO,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_5f578929a68a::landing_region_94c53aa4a6d7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,29.0,29.0,20.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3103448275862069,0.3793103448275862,0.4482758620689655,2.6136936666173076,0.8724723800223138,13.649374093414114,broad_corridor_observation_distribution,False,False,False,17.0,17.0,1.0,0.41379310344827586,0.5862068965517241,0.06896551724137931,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
BR,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,12.0,12.0,12.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.16666666666666666,0.25,0.3333333333333333,2.4271443847413385,0.9767547545290727,11.326491752180326,broad_corridor_observation_distribution,False,False,False,8.0,8.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BT,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,1.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BT,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,1.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BW,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BW,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BY,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2.0,2.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,weak_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BY,Topology-IPv4-ICMP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
CA,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,209.0,208.99999999999997,28.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.4478468899521531,0.6296650717703349,0.7732057416267942,1.8990880367944012,0.5699194125076522,6.6797999319583665,broad_corridor_observation_distribution,False,False,True,94.0,40.0,1.0,0.6746411483253588,0.3253588516746412,0.14354066985645933,True,True,auditable,,probe_country_service
CA,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,121.0,121.0,17.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.4297520661157025,0.6363636363636364,0.7933884297520661,1.8021141045425617,0.6360672091013575,6.062450580392624,broad_corridor_observation_distribution,False,False,True,57.0,28.0,1.0,0.6942148760330579,0.30578512396694213,0.11570247933884298,True,True,auditable,,probe_country_service
