probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
AE,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0030::landing_region_0337,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.5,0.5
AF,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,1,landing_region_0337::landing_region_0377,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0
AL,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18,18.0,1,landing_region_0149::landing_region_0174,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,1.0,0.0
AT,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.5,0.5
AU,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,525,525.0,13,landing_region_0041::landing_region_0735,0.3314285714285714,0.4552380952380952,0.5695238095238095,7.659943904503724,broad_corridor_observation_distribution,False,False,True,True,auditable,,39,23,1,0.9638095238095238,0.03619047619047619
AX,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,15,15.0,3,landing_region_0415::landing_region_0693,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.3333333333333333,0.6666666666666666
BF,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
BH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0035::landing_region_0035,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
BO,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0174::landing_region_0770,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
BR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30,30.0,6,landing_region_0174::landing_region_0770,0.3,0.5,0.6666666666666666,5.425596078256208,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.6,0.4
BZ,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0174::landing_region_0785,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CA,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,242,242.0,8,landing_region_0223::landing_region_0293,0.33980716253443527,0.6692837465564738,0.74366391184573,5.36310159100957,broad_corridor_observation_distribution,False,False,True,True,auditable,,42,9,1,0.24380165289256198,0.756198347107438
CH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,481,481.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,76,24,1,0.9896049896049897,0.010395010395010396
CL,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,14,14.0,2,landing_region_0242::landing_region_0975,0.6428571428571429,1.0,1.0,1.9189085505973331,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.6428571428571429,0.35714285714285715
CN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,25,25.000000000000004,7,landing_region_0266::landing_region_0348,0.32,0.52,0.72,5.766483603990638,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.6799999999999999,0.31999999999999995
CO,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30,30.0,4,landing_region_0174::landing_region_0287,0.43333333333333335,0.75,0.8833333333333333,3.475767539821601,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,3,3,1,0.13333333333333333,0.8666666666666667
CR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0174::landing_region_0465,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
CU,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0213,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CY,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,22,22.0,3,landing_region_0734::landing_region_1009,0.4090909090909091,0.7045454545454546,1.0,2.962735304020076,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.4090909090909091,0.5909090909090909
CZ,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,185,185.0,1,landing_region_0149::landing_region_0174,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,43,8,1,1.0,0.0
DE,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,601,601.0,6,landing_region_0149::landing_region_0174,0.9101497504159733,0.951747088186356,0.978369384359401,1.5182984729319564,severe_corridor_observation_concentration,True,True,True,True,auditable,,128,6,1,0.9733777038269551,0.026622296173044926
